      ┌────────date_to_hour─┬─logs_count─┐
   1. │ 2024-08-08 03:00:00 │         71 │
   2. │ 2024-08-08 04:00:00 │        137 │
   3. │ 2024-08-08 05:00:00 │        139 │
   4. │ 2024-08-08 06:00:00 │        153 │
   5. │ 2024-08-08 07:00:00 │        146 │
   6. │ 2024-08-08 08:00:00 │        133 │
   7. │ 2024-08-08 09:00:00 │        147 │
   8. │ 2024-08-08 10:00:00 │        146 │
   9. │ 2024-08-08 11:00:00 │        125 │
  10. │ 2024-08-08 12:00:00 │        124 │
  11. │ 2024-08-08 13:00:00 │        135 │
  12. │ 2024-08-08 14:00:00 │        133 │
  13. │ 2024-08-08 15:00:00 │        153 │
  14. │ 2024-08-08 16:00:00 │        139 │
  15. │ 2024-08-08 17:00:00 │        128 │
  16. │ 2024-08-08 18:00:00 │        129 │
  17. │ 2024-08-08 19:00:00 │        138 │
  18. │ 2024-08-08 20:00:00 │        131 │
  19. │ 2024-08-08 21:00:00 │        139 │
  20. │ 2024-08-08 22:00:00 │        128 │
  21. │ 2024-08-08 23:00:00 │        164 │
  22. │ 2024-08-09 00:00:00 │        152 │
  23. │ 2024-08-09 01:00:00 │        157 │
  24. │ 2024-08-09 02:00:00 │        154 │
  25. │ 2024-08-09 03:00:00 │        162 │
  26. │ 2024-08-09 04:00:00 │        135 │
  27. │ 2024-08-09 05:00:00 │        126 │
  28. │ 2024-08-09 06:00:00 │        161 │
  29. │ 2024-08-09 07:00:00 │        148 │
  30. │ 2024-08-09 08:00:00 │        142 │
  31. │ 2024-08-09 09:00:00 │        118 │
  32. │ 2024-08-09 10:00:00 │        110 │
  33. │ 2024-08-09 11:00:00 │        164 │
  34. │ 2024-08-09 12:00:00 │        116 │
  35. │ 2024-08-09 13:00:00 │        151 │
  36. │ 2024-08-09 14:00:00 │        137 │
  37. │ 2024-08-09 15:00:00 │        144 │
  38. │ 2024-08-09 16:00:00 │        151 │
  39. │ 2024-08-09 17:00:00 │        131 │
  40. │ 2024-08-09 18:00:00 │        145 │
  41. │ 2024-08-09 19:00:00 │        161 │
  42. │ 2024-08-09 20:00:00 │        125 │
  43. │ 2024-08-09 21:00:00 │        136 │
  44. │ 2024-08-09 22:00:00 │        131 │
  45. │ 2024-08-09 23:00:00 │        133 │
  46. │ 2024-08-10 00:00:00 │        160 │
  47. │ 2024-08-10 01:00:00 │        131 │
  48. │ 2024-08-10 02:00:00 │        144 │
  49. │ 2024-08-10 03:00:00 │        139 │
  50. │ 2024-08-10 04:00:00 │        125 │
  51. │ 2024-08-10 05:00:00 │        160 │
  52. │ 2024-08-10 06:00:00 │        135 │
